probe,coef_verify,significant,null
ENSG00000067048,9.544635255718987,Yes,FALSE
ENSG00000229807,-9.969455841147619,Yes,FALSE
ENSG00000012817,9.034237895033236,Yes,FALSE
ENSG00000129824,9.919388213308268,Yes,FALSE
ENSG00000198692,7.499150044762,Yes,FALSE
ENSG00000067646,7.404422519962531,Yes,FALSE
ENSG00000114374,8.381371936708375,Yes,FALSE
ENSG00000131002,8.68780622175396,Yes,FALSE
ENSG00000099725,6.887885381072143,Yes,FALSE
ENSG00000183878,7.882343344122043,Yes,FALSE
ENSG00000126012,-0.45119366913423153,Yes,FALSE
ENSG00000169249,-0.5192186902979238,Yes,FALSE
ENSG00000006756,-0.8999481378323747,Yes,FALSE
ENSG00000130021,-0.6222053604686676,Yes,FALSE
ENSG00000005889,-0.4697990614186767,Yes,FALSE
ENSG00000006757,-0.6444364044022352,Yes,FALSE
ENSG00000147050,-0.4703147501693543,Yes,FALSE
ENSG00000173674,-0.41683708787415275,Yes,FALSE
ENSG00000215301,-0.32917865475665475,Yes,FALSE
ENSG00000089009,0.32329027651194037,Yes,FALSE
ENSG00000046651,-0.42833622440266894,Yes,FALSE
ENSG00000185753,-0.3432887184676858,Yes,FALSE
ENSG00000186298,0.2750422033604579,Yes,FALSE
ENSG00000131797,-0.5675976739794958,Yes,FALSE
ENSG00000086712,-0.3380622397712775,Yes,FALSE
ENSG00000104419,0.8714061392933932,Yes,FALSE
ENSG00000136045,0.2643465261899831,Yes,FALSE
ENSG00000072501,-0.3075516528405826,Yes,FALSE
ENSG00000104365,-0.3671213725462482,Yes,FALSE
ENSG00000152661,0.7809398813965635,Yes,FALSE
ENSG00000101846,-0.6925011452012371,Yes,FALSE
ENSG00000089157,0.3688887396977766,Yes,FALSE
ENSG00000231925,-0.34131141658136777,Yes,FALSE
ENSG00000018408,0.4420905844978243,Yes,FALSE
ENSG00000196549,1.0299208373796325,Yes,FALSE
ENSG00000198034,-0.335584029174998,Yes,FALSE
ENSG00000168961,-0.6137426757147075,Yes,FALSE
ENSG00000185946,-0.4862907069972573,Yes,FALSE
ENSG00000196459,-0.2813835216077442,Yes,FALSE
ENSG00000132341,0.3192378835554007,Yes,FALSE
ENSG00000282826,0.6879539833303885,Yes,FALSE
ENSG00000106245,0.27846385005068497,Yes,FALSE
ENSG00000108679,-0.49053044919873723,Yes,FALSE
ENSG00000157399,-1.5502813831161764,Yes,FALSE
ENSG00000041880,-0.455836195051814,Yes,FALSE
ENSG00000163902,0.27493682258202384,Yes,FALSE
ENSG00000142528,0.30664057130150946,Yes,FALSE
ENSG00000176871,0.28639512619324553,Yes,FALSE
ENSG00000105202,0.5064790251931983,Yes,FALSE
ENSG00000169251,0.3230547060534728,Yes,FALSE
ENSG00000142230,0.2798398517753039,Yes,FALSE
ENSG00000101191,-0.23924249388934904,Yes,FALSE
ENSG00000163082,-0.7960355648267838,Yes,FALSE
ENSG00000100811,0.20915787456004661,Yes,FALSE
ENSG00000213639,0.29431834948088176,Yes,FALSE
ENSG00000144369,0.684302072938246,Yes,FALSE
ENSG00000142534,0.29120332001684107,Yes,FALSE
ENSG00000129315,0.24100494842190415,Yes,FALSE
ENSG00000130703,-0.23823922160420466,Yes,FALSE
ENSG00000111639,0.31096794188849486,Yes,FALSE
ENSG00000125743,0.3395391382809885,Yes,FALSE
ENSG00000092841,0.22788936460758583,Yes,FALSE
ENSG00000126749,0.3130425909882955,Yes,FALSE
ENSG00000105810,0.6140868040649031,Yes,FALSE
ENSG00000224531,0.2897794837629278,Yes,FALSE
ENSG00000091436,0.32539212992391287,Yes,FALSE
ENSG00000125354,-0.4038131022307681,Yes,FALSE
ENSG00000101447,0.7417774959246105,Yes,FALSE
ENSG00000253313,-0.8217078086705324,Yes,FALSE
ENSG00000111231,0.24187192119723003,Yes,FALSE
ENSG00000185215,-0.6603925187830767,Yes,FALSE
ENSG00000121310,-0.4117481123040022,Yes,FALSE
ENSG00000023445,-0.6928035574572444,Yes,FALSE
ENSG00000070770,0.2204777436950146,Yes,FALSE
ENSG00000166689,-0.45091586334501726,Yes,FALSE
ENSG00000131873,0.367251206547968,Yes,FALSE
ENSG00000166801,-0.3498719171889515,Yes,FALSE
ENSG00000179295,0.22256775504235665,Yes,FALSE
ENSG00000182179,-0.4352368149755211,Yes,FALSE
ENSG00000117480,-0.6629934599260927,Yes,FALSE
ENSG00000186432,0.3096345950450551,Yes,FALSE
ENSG00000170027,0.27751177035836855,Yes,FALSE
ENSG00000107551,-0.4732020652734685,Yes,FALSE
ENSG00000177889,0.22063084329590724,Yes,FALSE
ENSG00000002586,0.3731194400434284,Yes,FALSE
ENSG00000132424,-0.3262484797932396,Yes,FALSE
ENSG00000131401,-0.6243097805833995,Yes,FALSE
ENSG00000165030,0.38587796176070904,Yes,FALSE
ENSG00000197183,-0.3603565922975837,Yes,FALSE
ENSG00000102144,0.3645701060246205,Yes,FALSE
ENSG00000046647,-0.27904643955558633,Yes,FALSE
ENSG00000127922,0.3362820785459942,Yes,FALSE
ENSG00000139726,0.2562534330196945,Yes,FALSE
